,,,,target,x,y,z
-179.896,0.082332,179.749, ,0,0.104000000000013,,
-179.895,0.0851787,179.748, ,0,0.10499999999999,,
-179.894,0.087804,179.747, ,0,0.105999999999995,,
-179.892,0.0902772,179.747, ,0,0.108000000000004,,
-179.891,0.0926442,179.747, ,0,0.109000000000009,,
-179.89,0.0949352,179.747, ,0,0.110000000000014,,
-179.889,0.0971703,179.747, ,0,0.11099999999999,,
-179.888,0.0993625,179.747, ,0,0.111999999999995,,
-179.887,0.101521,179.747, ,0,0.113,,
-179.886,0.103651,179.747, ,0,0.114000000000004,,
-179.885,0.105756,179.747, ,0,0.115000000000009,,
-179.884,0.10784,179.747, ,0,0.116000000000014,,
-179.883,0.109904,179.747, ,0,0.11699999999999,,
-179.882,0.111949,179.747, ,0,0.117999999999995,,
-179.881,0.113977,179.747, ,0,0.119,,
-179.88,0.115987,179.747, ,0,0.120000000000005,,
-179.879,0.11798,179.747, ,0,0.121000000000009,,
-179.878,0.119956,179.747, ,0,0.122000000000014,,
-179.877,0.121916,179.747, ,0,0.12299999999999,,
-179.876,0.12386,179.747, ,0,0.123999999999995,,
-179.875,0.125788,179.747, ,0,0.125,,
-179.874,0.127701,179.747, ,0,0.126000000000005,,
-179.873,0.129598,179.747, ,0,0.12700000000001,,
-179.872,0.131479,179.747, ,0,0.127999999999986,,
-179.871,0.133345,179.747, ,0,0.128999999999991,,
-179.87,0.135196,179.747, ,0,0.129999999999995,,
-179.869,0.137032,179.747, ,0,0.131,,
-179.868,0.138853,179.747, ,0,0.132000000000005,,
-179.867,0.140659,179.747, ,0,0.13300000000001,,
-179.866,0.142451,179.747, ,0,0.133999999999986,,
-179.866,0.144228,179.747, ,0,0.133999999999986,,
-179.865,0.14599,179.747, ,0,0.134999999999991,,
-179.864,0.147738,179.747, ,0,0.135999999999996,,
-179.863,0.149472,179.748, ,0,0.137,,
-179.862,0.151192,179.748, ,0,0.138000000000005,,
-179.861,0.152898,179.748, ,0,0.13900000000001,,
-179.86,0.15459,179.748, ,0,0.139999999999986,,
-179.859,0.156268,179.748, ,0,0.140999999999991,,
-179.859,0.157933,179.748, ,0,0.140999999999991,,
-179.858,0.159584,179.748, ,0,0.141999999999996,,
-179.857,0.161222,179.748, ,0,0.143000000000001,,
-179.856,0.162846,179.748, ,0,0.144000000000005,,
-179.855,0.164458,179.748, ,0,0.14500000000001,,
-179.855,0.166056,179.748, ,0,0.14500000000001,,
-179.854,0.167641,179.748, ,0,0.145999999999987,,
-179.853,0.169213,179.748, ,0,0.146999999999991,,
-179.852,0.170773,179.748, ,0,0.147999999999996,,
-179.851,0.172319,179.748, ,0,0.149000000000001,,
-179.851,0.173854,179.748, ,0,0.149000000000001,,
-179.85,0.175376,179.748, ,0,0.150000000000006,,
-179.849,0.176885,179.748, ,0,0.15100000000001,,
-179.848,0.178382,179.748, ,0,0.151999999999987,,
-179.848,0.179867,179.748, ,0,0.151999999999987,,
-179.847,0.18134,179.748, ,0,0.152999999999992,,
-179.846,0.182801,179.748, ,0,0.153999999999996,,
-179.845,0.18425,179.748, ,0,0.155000000000001,,
-179.845,0.185688,179.748, ,0,0.155000000000001,,
-179.844,0.187113,179.748, ,0,0.156000000000006,,
-179.843,0.188527,179.748, ,0,0.157000000000011,,
-179.843,0.18993,179.748, ,0,0.157000000000011,,
-179.842,0.191321,179.748, ,0,0.157999999999987,,
-179.841,0.192701,179.748, ,0,0.158999999999992,,
-179.84,0.19407,179.748, ,0,0.159999999999997,,
-179.84,0.195427,179.748, ,0,0.159999999999997,,
-179.839,0.196774,179.748, ,0,0.161000000000001,,
-179.838,0.198109,179.748, ,0,0.162000000000006,,
-179.838,0.199434,179.748, ,0,0.162000000000006,,
