----------環境----------
シーン数,      1130
ターゲット数,  4
インターバル,  1
フレームレート,30Fps
スケール,      1.000
長さ単位,      cm
----------2Dオブジェクト----------
1,｢｣
2,｢｣
3,｢｣
4,｢｣
----------データ----------
シーン,   1X, 1Y, レベル,   2X, 2Y, レベル,   3X, 3Y, レベル,   4X, 4Y, レベル
1,  333.922, 94.872, 0,  374.724, 92.489, 0,  376.164, 45.984, 0,  421.837, 35.686, 0
2,  334.433, 94.590, 0,  375.127, 92.344, 0,  376.553, 46.053, 0,  422.209, 35.709, 0
3,  334.589, 94.011, 0,  375.415, 91.969, 0,  376.985, 45.557, 0,  422.471, 35.306, 0
4,  334.733, 94.117, 0,  375.360, 91.775, 0,  376.863, 45.169, 0,  422.818, 34.909, 0
5,  334.687, 93.855, 0,  375.385, 91.751, 0,  376.983, 45.308, 0,  422.678, 34.874, 0
6,  334.429, 94.533, 0,  375.312, 91.844, 0,  376.930, 45.813, 0,  422.614, 35.523, 0
7,  334.034, 94.843, 0,  374.823, 92.332, 0,  376.159, 45.917, 0,  422.155, 35.786, 0
8,  333.868, 94.874, 0,  374.576, 92.263, 0,  376.016, 45.895, 0,  421.729, 35.424, 0
9,  333.885, 94.791, 0,  374.597, 92.134, 0,  376.048, 45.848, 0,  421.270, 35.382, 0
10,  333.646, 94.464, 0,  374.482, 91.928, 0,  375.877, 45.692, 0,  421.210, 35.296, 0
11,  333.667, 94.295, 0,  374.344, 91.819, 0,  375.975, 45.369, 0,  422.024, 34.965, 0
12,  333.725, 93.871, 0,  374.472, 91.699, 0,  375.863, 44.863, 0,  422.313, 34.725, 0
13,  333.492, 93.719, 0,  374.489, 91.321, 0,  375.500, 44.797, 0,  422.329, 34.557, 0
14,  333.632, 93.220, 0,  374.335, 90.796, 0,  375.966, 44.144, 0,  422.155, 33.833, 0
15,  333.792, 92.514, 0,  374.801, 90.281, 0,  376.248, 43.802, 0,  422.671, 33.412, 0
16,  333.809, 92.333, 0,  375.077, 89.878, 0,  376.602, 43.492, 0,  422.974, 33.167, 0
17,  334.000, 92.060, 0,  375.027, 89.583, 0,  376.667, 42.889, 0,  423.134, 32.671, 0
18,  334.217, 91.989, 0,  375.338, 89.631, 0,  376.352, 42.731, 0,  423.904, 32.699, 0
19,  334.317, 92.033, 0,  375.320, 89.621, 0,  376.735, 42.823, 0,  423.605, 32.815, 0
20,  334.392, 91.835, 0,  375.288, 89.689, 0,  376.774, 42.957, 0,  423.316, 32.646, 0
21,  334.451, 91.909, 0,  375.491, 89.805, 0,  376.269, 43.067, 1,  423.427, 32.707, 0
22,  334.551, 91.955, 0,  375.371, 89.638, 0,  375.115, 44.462, 1,  423.096, 32.831, 0
23,  334.667, 91.776, 0,  375.443, 89.744, 0,  374.797, 44.203, 1,  423.247, 32.671, 0
24,  334.685, 92.017, 0,  375.677, 89.601, 0,  375.092, 44.211, 1,  423.398, 32.819, 0
25,  334.669, 91.960, 0,  375.430, 89.928, 0,  376.300, 43.155, 0,  423.163, 33.000, 0
26,  334.600, 92.080, 0,  375.401, 89.847, 0,  377.044, 43.149, 0,  423.228, 32.886, 0
27,  334.682, 92.101, 0,  375.480, 89.722, 0,  377.026, 43.009, 0,  423.438, 32.700, 0
28,  334.723, 91.832, 0,  375.441, 89.802, 0,  374.843, 44.329, 1,  423.329, 32.658, 0
29,  334.443, 91.909, 0,  375.318, 89.582, 0,  375.991, 43.057, 0,  422.902, 32.549, 0
30,  334.651, 91.817, 0,  375.374, 89.717, 0,  376.974, 42.886, 0,  423.250, 32.625, 0
31,  334.598, 91.718, 0,  375.463, 89.601, 0,  376.949, 42.872, 0,  423.407, 32.543, 0
32,  334.535, 91.558, 0,  375.439, 89.525, 0,  376.902, 42.857, 0,  423.354, 32.506, 0
33,  334.508, 91.641, 0,  375.573, 89.275, 0,  376.573, 42.636, 1,  423.362, 32.125, 0
34,  334.698, 91.140, 0,  375.903, 88.991, 0,  376.245, 42.073, 1,  423.398, 31.783, 0
35,  334.883, 91.161, 0,  376.053, 88.929, 0,  376.304, 42.598, 1,  424.037, 31.840, 0
36,  334.832, 91.179, 0,  376.103, 88.740, 0,  376.150, 42.550, 1,  423.855, 31.819, 0
37,  334.938, 90.921, 0,  376.251, 88.692, 0,  377.418, 42.018, 0,  423.835, 31.635, 0
38,  335.445, 90.775, 0,  376.317, 88.688, 0,  377.148, 41.759, 1,  424.554, 31.419, 0
39,  335.562, 90.927, 0,  376.549, 88.470, 0,  377.358, 41.606, 0,  424.813, 31.053, 0
40,  335.633, 90.906, 0,  376.546, 88.356, 0,  377.278, 41.620, 0,  424.545, 31.065, 0
41,  335.480, 90.931, 0,  376.488, 88.608, 0,  377.686, 41.737, 0,  424.526, 31.577, 0
42,  335.669, 90.735, 0,  376.724, 88.136, 0,  377.558, 41.460, 0,  424.701, 30.961, 0
43,  335.534, 90.787, 0,  376.648, 88.210, 0,  377.673, 41.591, 1,  424.787, 31.053, 0
44,  335.399, 90.960, 0,  376.276, 88.588, 0,  377.752, 41.947, 0,  424.110, 31.549, 0
45,  335.077, 91.027, 0,  376.128, 88.487, 0,  377.154, 41.829, 0,  423.636, 31.442, 0
46,  335.116, 90.994, 0,  376.124, 88.433, 0,  376.455, 41.871, 1,  424.143, 30.987, 0
47,  334.859, 90.891, 0,  376.085, 88.152, 0,  376.364, 41.818, 1,  423.964, 30.810, 0
48,  334.813, 90.813, 0,  375.708, 88.297, 0,  376.636, 41.664, 0,  423.346, 30.987, 0
49,  334.467, 90.889, 0,  375.606, 88.507, 0,  376.615, 41.862, 0,  423.513, 31.500, 0
50,  334.061, 91.033, 0,  375.222, 88.569, 0,  376.287, 41.809, 0,  422.735, 31.446, 0
51,  333.810, 91.223, 0,  374.748, 88.527, 0,  375.320, 41.981, 1,  422.416, 31.468, 0
52,  333.725, 91.354, 0,  374.770, 88.685, 0,  375.514, 42.009, 0,  422.325, 31.575, 0
53,  333.611, 91.683, 0,  374.484, 88.973, 0,  374.366, 42.703, 1,  422.225, 31.763, 0
54,  333.155, 92.022, 0,  374.229, 89.363, 0,  374.574, 42.522, 0,  421.475, 32.000, 0
55,  333.115, 92.240, 0,  374.170, 89.594, 0,  375.073, 42.984, 0,  421.797, 32.152, 0
56,  332.835, 92.775, 0,  373.978, 89.943, 0,  374.992, 43.258, 0,  421.300, 32.750, 0
57,  332.913, 93.087, 0,  373.823, 90.391, 0,  373.096, 45.482, 1,  421.128, 33.359, 0
58,  332.914, 93.380, 0,  373.831, 90.618, 0,  374.055, 44.182, 0,  421.151, 33.709, 0
59,  333.290, 93.682, 0,  374.198, 90.784, 0,  374.895, 44.226, 0,  420.988, 33.765, 0
60,  333.594, 93.886, 0,  374.367, 91.005, 0,  375.427, 44.427, 0,  421.224, 33.718, 0
61,  333.852, 94.247, 0,  374.357, 91.421, 0,  374.538, 45.076, 1,  420.790, 34.074, 0
62,  334.221, 94.425, 0,  374.937, 91.620, 0,  374.452, 45.587, 1,  421.115, 34.494, 0
63,  335.221, 94.872, 0,  375.784, 91.541, 0,  376.200, 45.191, 0,  422.462, 34.103, 0
64,  336.139, 94.329, 0,  376.775, 91.518, 0,  377.934, 44.967, 0,  423.506, 33.988, 0
65,  337.080, 94.580, 0,  377.662, 91.603, 0,  378.554, 45.314, 0,  424.247, 34.273, 0
66,  338.628, 94.308, 0,  379.135, 91.477, 0,  380.034, 44.899, 0,  425.655, 34.048, 0
67,  340.331, 94.466, 0,  381.064, 91.473, 0,  382.009, 44.982, 0,  428.232, 34.037, 0
68,  341.837, 94.096, 0,  382.528, 91.547, 0,  383.602, 45.071, 0,  429.378, 34.305, 0
69,  343.638, 94.181, 0,  384.693, 91.761, 0,  385.696, 45.473, 0,  432.060, 34.750, 0
70,  346.059, 94.265, 0,  387.207, 91.770, 0,  388.237, 45.719, 0,  434.962, 35.354, 0
71,  348.506, 94.285, 0,  390.046, 91.847, 0,  391.357, 45.732, 0,  438.211, 35.263, 0
72,  351.538, 94.467, 0,  393.090, 91.844, 0,  394.528, 45.660, 0,  441.709, 35.481, 0
73,  354.277, 94.306, 0,  395.817, 91.938, 0,  397.519, 45.538, 0,  444.590, 35.436, 0
74,  357.216, 94.186, 0,  398.626, 92.109, 0,  398.681, 46.957, 1,  447.526, 35.808, 0
75,  360.294, 94.245, 0,  401.585, 92.068, 0,  401.836, 46.776, 1,  450.974, 36.000, 0
76,  363.578, 93.675, 0,  404.995, 91.788, 0,  405.078, 46.703, 1,  454.282, 35.551, 0
77,  366.703, 93.685, 0,  408.193, 91.894, 0,  408.629, 46.677, 1,  458.373, 35.840, 0
78,  369.547, 94.149, 0,  411.558, 92.189, 0,  410.767, 45.581, 1,  462.014, 36.348, 0
79,  372.497, 94.696, 0,  414.652, 92.637, 0,  414.313, 46.333, 1,  465.694, 37.278, 0
80,  375.340, 95.012, 0,  417.702, 93.403, 0,  418.540, 48.460, 1,  468.971, 38.362, 0
81,  378.623, 95.630, 0,  420.485, 94.200, 0,  421.094, 48.849, 1,  471.684, 38.829, 0
82,  381.316, 96.052, 0,  423.677, 94.423, 0,  423.683, 48.195, 1,  475.141, 39.394, 0
83,  384.188, 96.206, 0,  426.487, 94.645, 0,  427.679, 49.518, 1,  477.841, 39.333, 0
84,  387.377, 96.247, 0,  429.688, 94.487, 0,  431.073, 49.436, 1,  481.618, 39.118, 0
85,  390.423, 96.026, 0,  432.788, 94.269, 0,  433.439, 48.024, 1,  485.121, 39.379, 0
86,  393.757, 95.818, 0,  435.839, 94.073, 0,  436.381, 47.810, 1,  488.045, 39.284, 0
87,  396.933, 95.490, 0,  439.228, 94.140, 0,  439.500, 47.500, 1,  491.723, 39.262, 0
88,  400.134, 95.315, 0,  442.355, 94.323, 0,  451.000, 53.000, 1,  495.047, 39.344, 0
89,  403.273, 95.293, 0,  445.561, 94.016, 0,  446.325, 47.875, 1,  497.968, 39.333, 0
90,  406.745, 95.145, 0,  456.000, 93.000, 0,  449.371, 47.457, 1,  502.000, 39.462, 0
91,  410.089, 94.349, 0,  452.613, 93.202, 0,  453.063, 47.063, 1,  506.017, 39.233, 0
92,  413.667, 94.222, 0,  455.995, 92.667, 0,  466.000, 51.000, 1,  509.673, 38.491, 0
93,  417.042, 93.406, 0,  459.424, 92.250, 0,  469.000, 51.000, 1,  513.273, 37.764, 0
94,  420.907, 92.864, 0,  462.927, 91.927, 0,  473.000, 51.000, 0,  516.944, 37.611, 0
95,  424.420, 92.543, 0,  466.452, 91.339, 0,  477.000, 50.000, 0,  520.593, 37.648, 0
96,  427.971, 92.168, 0,  469.890, 91.122, 0,  481.000, 50.000, 1,  524.540, 37.080, 0
97,  431.880, 91.810, 0,  473.879, 91.133, 0,  484.000, 50.000, 0,  528.580, 37.580, 0
