PVT file: 8-axis
Time,Pos[J1],Vel[J1],Pos[J2],Vel[J2],Pos[J3],Vel[J3],Pos[J4],Vel[J4],Pos[J5],Vel[J5],Pos[J6],Vel[J6],Pos[J7],Vel[J7],Pos[J8],Vel[J8],
0,34.799,0.0006,29.246,0.0002,10.853,-0.0005,69.237,-0.0004,-5.576,0.0001,85.318,0.0002,49.464,-0.0001,42.789,0.0000,
0.1,34.799,0.0002,29.246,-0.0002,10.853,0.0005,69.239,0.0004,-5.576,0.0000,85.319,0.0012,49.464,0.0048,42.788,0.0000,
0.2,34.799,0.0000,29.249,0.0009,10.853,0.0002,69.241,0.0015,-5.576,0.0000,85.319,0.0027,49.463,0.0003,42.786,0.0001,
0.3,34.799,-0.0006,29.251,0.0085,10.853,-0.0006,69.243,0.0042,-5.576,0.0005,85.319,0.0009,49.463,0.0001,42.785,0.0002,
0.4,34.798,-0.0009,29.257,0.0461,10.853,-0.0016,69.334,2.1843,-5.576,0.0000,85.319,0.0007,49.463,-0.0004,42.784,0.0009,
0.5,34.798,0.0001,29.264,0.0480,10.851,-0.0003,69.612,3.0852,-5.581,-0.0168,85.316,-0.0016,49.463,-0.0009,42.784,0.0029,
0.6,34.797,-0.0012,29.271,0.0302,10.85,-0.0066,69.761,0.2648,-5.583,-0.0128,85.306,-0.1117,49.463,-0.0004,42.786,0.0013,
0.7,34.796,-0.0004,29.279,0.1198,10.848,-0.0008,69.937,3.4056,-5.586,-0.0035,84.972,-6.9286,49.463,-0.0006,42.784,0.0003,
0.8,34.797,0.0065,29.514,3.6526,10.849,0.0042,70.282,4.3255,-5.608,-1.1995,83.976,-9.7326,49.463,-0.0004,42.783,-0.0013,
0.9,34.796,0.0006,30.186,6.4881,10.848,0.0008,70.767,3.4824,-5.656,0.0257,83.31,-4.0955,49.463,-0.0005,42.784,0.0000,
1,34.793,-0.0048,30.725,3.9349,10.845,-0.0040,70.852,-0.4370,-5.668,-0.1158,83.137,-0.0765,49.463,0.0004,42.786,0.0020,
1.1,34.793,-0.0026,30.966,1.4066,10.845,-0.0019,70.847,0.1139,-5.756,-0.8464,83.081,-2.0460,49.464,0.0009,42.787,-0.0004,
1.2,34.797,0.0028,31.036,0.0024,10.848,0.0003,70.854,0.0876,-6.2,-4.0326,82.586,-3.8047,49.463,-0.0007,42.788,-0.0003,
1.3,34.795,0.0018,31.037,-0.0010,10.846,-0.0003,70.848,0.0023,-6.514,-3.9312,82.519,-0.0540,49.464,0.0002,42.788,0.0001,
1.4,34.791,-0.0046,31.037,-0.0007,10.843,-0.0107,70.83,-0.2172,-6.928,-3.7685,82.127,-7.4244,49.464,-0.0032,42.788,0.0013,
1.5,34.792,-0.0008,31.038,-0.0033,10.789,-0.8131,70.857,-0.0228,-7.607,-6.9635,80.636,-15.0129,49.463,-0.0012,42.784,0.0025,
1.6,34.795,-0.0234,31.039,-0.0027,10.762,0.0011,70.859,0.0006,-8.691,-12.7371,79.37,-11.0131,49.463,0.0007,42.784,0.0003,
1.7,34.792,-0.0010,31.043,-0.0057,10.761,-0.0032,70.859,0.0007,-9.952,-8.9315,78.397,-5.8587,49.464,0.0014,42.785,-0.0002,
1.8,34.791,0.0032,31.046,0.0412,10.761,0.0024,70.861,0.0027,-10.81,-6.0078,77.813,-6.8457,49.464,-0.0023,42.785,0.0002,
1.9,34.792,-0.0008,31.05,0.0165,10.76,-0.0037,70.861,0.0012,-11.613,-8.5649,76.843,-8.3383,49.465,0.0002,42.785,-0.0003,
2,34.789,-0.0066,31.056,0.0733,10.752,-0.2309,70.865,0.0019,-12.627,-10.6644,75.94,-11.0445,49.465,0.0000,42.783,-0.0006,
2.1,34.788,-0.0115,31.203,2.8231,10.736,0.0528,70.863,0.0018,-13.822,-10.3751,74.54,-12.1817,49.465,-0.0004,42.783,0.0004,
2.2,34.786,0.0963,31.632,4.4932,10.708,-0.6339,70.859,-0.0095,-14.847,-9.8868,73.144,-12.3625,49.464,-0.0003,42.783,0.0021,
2.3,34.787,-0.0018,32.036,3.4013,10.71,0.0011,70.85,-0.0716,-16.331,-13.7118,71.928,-9.3917,49.465,0.0016,42.786,-0.0002,
2.4,34.79,0.0077,32.259,0.8714,10.711,0.0012,70.847,-0.0338,-17.453,-9.0134,71.214,-5.5506,49.466,0.0009,42.787,0.0018,
2.5,34.787,-0.0008,32.276,0.0034,10.708,-0.0022,70.85,-0.1885,-18.078,-4.0712,70.467,-7.1337,49.465,0.0001,42.785,0.0005,
2.6,34.786,-0.0032,32.277,0.0000,10.706,-0.2340,70.859,0.0008,-18.239,-0.1286,69.822,-3.6635,49.465,-0.0007,42.783,-0.0005,
2.7,34.793,0.0072,32.273,-0.0036,10.707,0.0118,70.863,0.0002,-18.229,0.0624,69.718,0.0071,49.464,0.0007,42.781,-0.0006,
2.8,34.801,0.0287,32.262,-0.0464,10.765,0.2897,70.858,-0.1381,-18.005,4.8330,69.896,4.4029,49.465,0.0000,42.78,0.0002,
2.9,34.8,-0.0010,32.227,-1.0287,10.772,0.0592,70.846,-0.0359,-17.212,11.2987,70.41,6.4095,49.464,0.0001,42.78,0.0016,
3,34.801,0.0035,31.885,-4.7152,10.783,0.0927,70.825,-0.2846,-16.164,7.9713,71.44,11.5734,49.465,-0.0003,42.781,-0.0004,
3.1,34.8,-0.0037,31.472,-2.9371,10.789,0.1231,70.812,-0.0149,-15.459,9.0205,72.697,11.1040,49.465,-0.0002,42.781,-0.0006,
3.2,34.801,0.0053,31.356,-0.0176,10.805,0.2658,70.814,0.0042,-14.178,11.0168,73.847,7.7835,49.465,0.0000,42.78,-0.0002,
3.3,34.801,0.0072,31.354,-0.0003,10.812,0.1136,70.813,0.0020,-13.026,9.8037,74.577,7.5173,49.463,-0.0011,42.778,-0.0004,
3.4,34.8,-0.0002,31.35,-0.0586,10.829,0.1704,70.811,-0.0003,-12.11,9.1230,75.685,11.1240,49.463,-0.0004,42.778,0.0009,
3.5,34.801,0.0134,31.345,-0.0208,10.843,0.1608,70.824,0.1265,-10.998,9.9312,76.938,12.5833,49.463,-0.0008,42.779,-0.0008,
3.6,34.8,-0.0087,31.34,-0.0046,10.86,0.7042,70.815,-0.0274,-10.077,8.7666,78.372,13.3083,49.463,0.0009,42.78,0.0006,
3.7,34.804,-0.0016,31.337,-0.0939,10.886,0.0906,70.804,-0.1810,-9.096,9.1576,79.834,13.7992,49.463,0.0004,42.781,-0.0015,
3.8,34.804,0.0002,31.337,0.0183,10.898,0.0412,70.819,0.1223,-8.082,11.9309,81.066,10.2795,49.463,-0.0005,42.782,-0.0005,
3.9,34.803,-0.0012,31.337,-0.2280,10.904,0.0544,70.817,0.2091,-6.986,7.0840,81.964,7.1975,49.463,-0.0005,42.783,0.0012,
