Time,Pos[J1],Pos[J2],Pos[J3],Pos[J4],Pos[J5],Pos[J6],Pos[J7],Pos[J8]
0,39.194,46.838,10.687,39.537,-5.44,89.498,-0.198,42.511
0.1,39.194,46.842,10.689,39.537,-5.439,89.498,-0.198,42.512
0.2,39.194,46.846,10.688,39.537,-5.439,89.498,-0.198,42.512
0.3,39.195,46.848,10.688,39.537,-5.439,89.498,-0.198,42.512
0.4,39.195,46.852,10.688,39.538,-5.439,89.498,-0.198,42.511
0.5,39.194,46.856,10.687,39.538,-5.44,89.498,-0.198,42.511
0.6,39.193,46.858,10.686,39.537,-5.443,89.496,-0.198,42.508
0.7,39.193,46.862,10.686,39.537,-5.443,89.496,-0.198,42.508
0.8,39.193,46.864,10.686,39.539,-5.443,89.496,-0.198,42.506
0.9,39.191,46.875,10.684,39.683,-5.445,89.489,-0.199,42.504
1,39.188,47.09,10.682,39.694,-5.48,89.476,-0.199,42.501
1.1,39.186,47.839,10.681,39.702,-5.578,89.321,-0.199,42.499
1.2,39.186,49.099,10.682,39.679,-5.686,88.919,-0.199,42.506
1.3,39.186,49.755,10.683,39.475,-5.682,88.426,-0.199,42.511
1.4,39.183,49.825,10.68,38.923,-5.688,88.376,-0.199,42.504
1.5,39.185,49.84,10.68,38.859,-5.7,88.378,-0.2,42.499
1.6,39.185,49.847,10.681,38.858,-6.03,88.374,-0.199,42.499
1.7,39.184,49.854,10.68,38.858,-6.953,88.366,-0.199,42.501
1.8,39.186,49.863,10.682,38.877,-7.395,88.282,-0.199,42.502
1.9,39.179,50.215,10.678,38.884,-7.469,87.68,-0.199,42.5
2,39.171,50.74,10.603,38.875,-7.57,86.776,-0.2,42.501
2.1,39.176,50.89,10.604,38.57,-8.171,86.182,-0.2,42.502
2.2,39.165,50.9,10.601,38.023,-8.949,86.018,-0.201,42.499
2.3,39.168,50.916,10.602,37.901,-9.94,85.87,-0.201,42.498
2.4,39.166,50.941,10.601,37.889,-11.357,85.242,-0.201,42.498
2.5,39.167,50.954,10.603,37.893,-12.626,84.149,-0.201,42.499
2.6,39.167,50.971,10.603,37.894,-13.465,83.236,-0.201,42.496
2.7,39.164,51.214,10.594,37.895,-14.323,82.275,-0.201,42.496
2.8,39.173,51.764,10.597,37.875,-15.741,80.968,-0.2,42.501
2.9,39.173,51.992,10.597,37.865,-16.683,79.885,-0.199,42.5
3,39.16,51.996,10.594,37.838,-17.219,79.283,-0.199,42.496
3.1,39.16,52.001,10.594,37.812,-18.243,78.782,-0.198,42.493
3.2,39.147,52.003,10.592,37.806,-18.855,78.542,-0.198,42.49
3.3,39.131,52.02,10.584,37.81,-19.522,77.987,-0.199,42.491
3.4,39.074,52.041,10.583,37.812,-19.873,77.504,-0.199,42.492
3.5,38.934,52.16,10.583,37.811,-20.039,77.441,-0.199,42.494
3.6,38.696,52.479,10.582,37.817,-20.692,76.865,-0.197,42.501
3.7,38.596,52.686,10.581,37.806,-21.259,76.775,-0.198,42.501
3.8,38.608,52.691,10.608,37.812,-21.384,76.782,-0.198,42.509
3.9,38.643,52.689,10.616,37.808,-21.191,76.792,-0.199,42.51
4,38.641,52.677,10.621,37.803,-20.626,76.81,-0.199,42.508
4.1,38.642,52.625,10.632,37.802,-20.453,76.913,-0.199,42.509
4.2,38.638,52.224,10.638,37.797,-20.217,77.641,-0.199,42.506
4.3,38.641,51.7,10.644,37.818,-19.403,78.592,-0.2,42.506
4.4,38.638,51.401,10.653,37.819,-18.224,79.97,-0.201,42.506
4.5,38.638,51.376,10.664,37.816,-17.07,81.431,-0.201,42.507
4.6,38.641,51.339,10.673,37.809,-15.848,82.498,-0.202,42.509
4.7,38.644,51.105,10.682,37.802,-14.55,83.802,-0.201,42.508
4.8,38.641,50.645,10.69,37.833,-13.226,85.525,-0.201,42.508
4.9,38.64,50.289,10.697,37.891,-11.69,86.991,-0.201,42.508
5,38.64,50.251,10.704,37.9,-10.329,88.01,-0.201,42.508
5.1,38.64,50.251,10.713,37.9,-9.099,88.878,-0.201,42.508
5.2,38.64,50.254,10.726,37.902,-8.081,89.802,-0.201,42.508
5.3,38.642,50.253,10.736,37.9,-7.196,90.517,-0.201,42.509
5.4,38.641,50.255,10.743,37.902,-6.238,91.105,-0.201,42.508
5.5,38.64,50.264,10.748,37.941,-5.544,91.352,-0.201,42.507
5.6,38.639,50.267,10.746,37.94,-5.482,91.355,-0.2,42.506
5.7,38.63,50.27,10.74,37.937,-5.557,91.334,-0.201,42.5
5.8,38.618,50.276,10.739,37.936,-6.093,91.269,-0.201,42.501
5.9,38.618,50.274,10.739,37.933,-7.141,90.966,-0.2,42.502
6,38.617,50.274,10.739,37.932,-8.241,89.845,-0.201,42.503
6.1,38.617,50.276,10.739,37.934,-9.414,88.512,-0.201,42.502
6.2,38.619,50.277,10.74,37.935,-11.064,87.156,-0.2,42.504
6.3,38.617,50.289,10.739,37.937,-12.486,85.84,-0.201,42.501
6.4,38.616,50.401,10.709,37.942,-13.711,84.469,-0.2,42.5
6.5,38.607,50.894,10.706,37.934,-14.998,83.132,-0.199,42.5
6.6,38.61,51.503,10.71,37.869,-16.538,81.784,-0.199,42.505
6.7,38.61,51.775,10.711,37.549,-17.388,80.976,-0.198,42.505
6.8,38.601,51.888,10.707,37.087,-17.721,80.674,-0.199,42.5
6.9,38.583,51.969,10.688,37.062,-18.062,80.308,-0.198,42.498
7,38.562,51.977,10.639,37.067,-18.754,79.501,-0.197,42.5
7.1,38.5,52.033,10.638,37.062,-19.13,79.008,-0.197,42.5
7.2,38.472,52.429,10.638,37.04,-19.252,78.89,-0.197,42.498
7.3,38.474,52.725,10.64,36.813,-19.777,78.714,-0.196,42.502
7.4,38.47,52.866,10.64,36.195,-19.965,78.713,-0.197,42.502
7.5,38.433,52.88,10.641,35.813,-19.964,78.687,-0.198,42.502
7.6,38.371,52.895,10.64,35.745,-19.965,78.416,-0.197,42.502
7.7,38.379,53.108,10.64,35.726,-19.964,77.387,-0.197,42.503
7.8,38.397,53.492,10.646,35.715,-19.96,76.328,-0.197,42.504
7.9,38.405,53.67,10.65,35.709,-19.947,76.266,-0.198,42.506
8,38.417,53.635,10.662,35.613,-19.623,76.658,-0.198,42.505
8.1,38.418,53.481,10.671,35.233,-19.066,77.71,-0.199,42.507
8.2,38.415,53.243,10.674,34.67,-18.025,79.658,-0.199,42.506
8.3,38.416,53.172,10.699,34.435,-16.845,81.183,-0.2,42.508
8.4,38.418,53.166,10.715,34.427,-15.584,82.413,-0.2,42.509
8.5,38.417,53.153,10.722,34.362,-14.694,83.364,-0.2,42.51
8.6,38.417,53.09,10.732,34.104,-13.592,84.738,-0.2,42.51
8.7,38.417,52.868,10.748,34.086,-12.463,85.91,-0.2,42.51
8.8,38.417,52.643,10.759,34.097,-11.296,86.909,-0.201,42.508
8.9,38.419,52.562,10.771,34.097,-10.4,87.836,-0.2,42.51
9,38.417,52.557,10.779,34.095,-9.261,89.17,-0.2,42.51
9.1,38.417,52.554,10.787,34.102,-7.992,90.409,-0.2,42.511
9.2,38.417,52.554,10.791,34.101,-6.804,91.347,-0.2,42.511
9.3,38.417,52.556,10.792,34.103,-5.892,91.761,-0.2,42.51
9.4,38.417,52.557,10.8,34.104,-5.463,92.125,-0.2,42.51
9.5,38.414,52.559,10.798,34.103,-5.453,92.268,-0.2,42.51
9.6,38.414,52.557,10.797,34.102,-5.454,92.267,-0.2,42.51
9.7,38.413,52.555,10.796,34.1,-5.455,92.267,-0.199,42.512
9.8,38.412,52.555,10.796,34.096,-5.458,92.265,-0.199,42.513
9.9,38.41,52.548,10.794,34.093,-5.46,92.264,-0.199,42.513
10,38.412,52.54,10.796,34.055,-5.46,92.263,-0.2,42.515
10.1,38.412,52.546,10.796,33.661,-5.458,92.269,-0.2,42.515
10.2,38.413,52.551,10.796,33.509,-5.458,92.267,-0.2,42.514
10.3,38.411,52.55,10.795,33.506,-5.459,92.268,-0.199,42.514
10.4,38.412,52.547,10.796,33.5,-5.458,92.267,-0.199,42.515
