PVT file: 8-axis
Time,Pos[J1],Vel[J1],Pos[J2],Vel[J2],Pos[J3],Vel[J3],Pos[J4],Vel[J4],Pos[J5],Vel[J5],Pos[J6],Vel[J6],Pos[J7],Vel[J7],Pos[J8],Vel[J8],
0,36.807,0.0007,52.89,0.0608,10.886,-0.0003,36.658,0.0006,-12.913,0.0002,90.944,0.0006,35.294,0.0000,42.264,-0.0001,
0.1,36.807,-0.0007,52.893,0.1155,10.886,-0.0001,36.659,0.0009,-12.913,0.0000,90.945,0.0012,35.294,0.0007,42.264,-0.0005,
0.2,36.808,0.0003,52.897,-0.0083,10.886,0.0000,36.659,0.0004,-12.913,-0.0003,90.944,-0.0002,35.294,0.0013,42.264,-0.0003,
0.3,36.807,-0.0003,52.903,0.0175,10.886,-0.0010,36.658,-0.0014,-12.913,-0.0007,90.942,-0.0016,35.294,0.0001,42.264,0.0008,
0.4,36.807,0.0000,52.907,-0.0081,10.886,0.0000,36.659,0.0009,-12.913,0.0001,90.941,0.0002,35.294,0.0010,42.265,0.0002,
0.5,36.807,-0.0001,52.91,0.0053,10.886,0.0000,36.66,0.0413,-12.913,0.0005,90.942,0.0005,35.294,0.0004,42.264,-0.0001,
0.6,36.808,0.0000,52.934,0.8054,10.886,-0.0004,36.699,0.4624,-12.913,0.0004,90.942,-0.0002,35.293,0.0000,42.263,0.0003,
0.7,36.809,0.0031,53.154,3.0973,10.887,-0.0003,36.736,-0.0073,-12.913,0.0007,90.938,-0.0023,35.294,0.0006,42.265,0.0009,
0.8,36.809,0.0058,53.699,6.9668,10.886,0.0069,36.734,0.0068,-12.914,0.0008,90.926,-0.1630,35.294,-0.0001,42.267,0.0024,
0.9,36.807,-0.0001,54.601,8.9377,10.885,-0.0051,36.732,0.0019,-12.915,0.0006,90.672,-7.3376,35.294,0.0006,42.267,-0.0021,
1,36.809,0.0272,55.483,10.2112,10.886,0.0074,36.731,0.0014,-12.916,0.0031,89.566,-13.5594,35.294,0.0010,42.267,0.0016,
1.1,36.808,0.0088,56.736,11.8043,10.884,0.0052,36.73,-0.0009,-12.918,-0.0006,88.172,-11.4917,35.294,-0.0002,42.266,0.0022,
1.2,36.807,0.0061,58.084,10.9465,10.884,0.0014,36.726,0.0936,-12.925,0.0191,86.693,-14.0901,35.293,-0.0011,42.264,-0.0028,
1.3,36.804,0.0841,59.03,8.8106,10.884,0.0037,36.73,0.0010,-12.93,0.1130,85.372,-12.4753,35.292,-0.0006,42.264,0.0007,
1.4,36.802,0.0359,59.766,6.1016,10.882,0.0002,36.732,-0.0006,-12.933,0.0011,84.314,-9.7912,35.293,-0.0001,42.263,0.0000,
1.5,36.801,0.0065,60.389,5.1952,10.881,0.0009,36.732,0.0029,-12.95,-0.3516,83.483,-5.2886,35.292,0.0009,42.264,-0.0006,
1.6,36.801,-0.0006,60.864,4.4179,10.881,-0.0021,36.728,0.1242,-13.156,-3.7757,82.863,-6.8109,35.292,-0.0025,42.261,-0.0018,
1.7,36.803,0.0048,61.504,6.1514,10.882,-0.0026,36.731,0.0022,-13.794,-5.4317,82.029,-6.2157,35.293,-0.0020,42.264,0.0003,
1.8,36.802,0.0001,62.052,6.0417,10.881,0.0007,36.733,0.0058,-14.028,-0.4854,81.62,-5.2191,35.292,-0.0010,42.263,-0.0036,
1.9,36.805,0.0113,62.793,6.6439,10.884,0.0017,36.732,-0.0030,-14.026,0.0005,80.906,-6.6113,35.293,-0.0019,42.263,-0.0015,
2,36.8,-0.0048,63.481,5.8458,10.881,-0.0004,36.729,-0.0017,-14.028,-0.0007,80.314,-3.7745,35.293,0.0002,42.264,0.0015,
2.1,36.8,-0.0078,64.172,7.3466,10.881,-0.0015,36.73,0.0004,-14.03,-0.0811,79.703,-8.8986,35.293,0.0013,42.263,-0.0020,
2.2,36.802,0.0041,65.191,9.9833,10.881,0.0018,36.731,-0.0069,-14.039,-0.0120,78.491,-10.8622,35.292,-0.0002,42.263,-0.0001,
2.3,36.8,-0.0052,66.291,9.4183,10.879,-0.0043,36.732,-0.0010,-14.049,-0.0944,77.443,-8.2248,35.293,0.0003,42.263,-0.0004,
2.4,36.802,-0.0022,67.146,8.2702,10.881,-0.0014,36.73,-0.0019,-14.065,-0.2328,76.74,-6.7256,35.293,0.0001,42.264,0.0002,
2.5,36.802,0.0000,67.865,5.8815,10.88,-0.0010,36.731,0.0007,-14.154,-1.9206,75.991,-7.4928,35.294,0.0005,42.263,-0.0005,
2.6,36.8,-0.0016,68.494,4.9396,10.88,0.0018,36.723,-0.0172,-14.358,-1.0330,75.257,-4.7263,35.294,-0.0001,42.262,0.0012,
2.7,36.8,-0.0002,69.044,6.6415,10.88,-0.0003,36.731,-0.0077,-14.384,-0.0676,74.597,-6.6293,35.294,0.0012,42.262,-0.0006,
2.8,36.802,0.0017,69.882,8.9049,10.881,0.0017,36.723,-0.2206,-14.396,-0.1474,73.927,-7.5832,35.294,0.0013,42.264,0.0013,
2.9,36.801,0.0007,71.038,12.2460,10.879,0.0026,36.725,-0.0120,-14.409,-0.1877,73.012,-7.6719,35.294,-0.0015,42.263,0.0005,
3,36.798,-0.0083,72.265,13.5152,10.879,-0.0011,36.73,-0.0689,-14.421,-0.1321,72.097,-10.9746,35.294,0.0000,42.263,-0.0005,
3.1,36.8,-0.0009,73.876,12.6790,10.88,0.0012,36.721,-0.1130,-14.466,-0.1981,70.818,-12.5906,35.294,-0.0016,42.263,0.0000,
3.2,36.802,0.0132,75.217,11.2453,10.879,-0.0012,36.733,0.0078,-14.479,-0.0278,69.039,-14.0449,35.294,-0.0007,42.264,-0.0007,
3.3,36.798,-0.0097,76.308,12.4344,10.879,-0.0027,36.725,0.3613,-14.492,-0.3983,67.767,-14.4653,35.294,0.0003,42.263,-0.0005,
3.4,36.799,-0.0079,77.711,12.8224,10.87,-0.0037,36.726,0.0006,-14.538,-0.0735,66.484,-11.8601,35.294,0.0003,42.262,-0.0003,
3.5,36.8,0.0007,78.896,11.8514,10.87,0.0007,36.725,-0.0010,-14.588,-1.0644,65.569,-6.7372,35.294,0.0015,42.261,0.0005,
3.6,36.798,-0.0016,80.145,11.2794,10.869,-0.0028,36.715,-0.4443,-14.735,-0.3902,64.823,-7.2367,35.294,-0.0001,42.263,0.0025,
3.7,36.8,0.0002,81.235,11.6974,10.87,-0.0026,36.722,0.0009,-14.835,-1.9371,63.921,-10.7438,35.294,-0.0019,42.263,-0.0004,
3.8,36.799,0.0000,82.665,10.7100,10.87,0.0017,36.723,-0.0006,-15.303,-3.9286,62.45,-12.6633,35.295,-0.0026,42.262,0.0002,
3.9,36.793,-0.0468,83.631,9.1679,10.87,-0.0001,36.721,-0.0114,-15.71,-2.4939,61.176,-10.7059,35.295,0.0002,42.263,-0.0014,
4,36.802,-0.0008,84.578,7.7806,10.873,-0.0008,36.725,0.0071,-15.765,0.0062,60.247,-6.8884,35.295,0.0002,42.265,-0.0003,
4.1,36.802,0.0029,85.356,8.0911,10.874,0.0035,36.721,-0.0051,-15.764,0.0016,59.69,-4.6599,35.296,-0.0001,42.266,-0.0002,
